地方公共団体コード,地方公共団体コード6桁,地方公共団体名,都道府県名,都道府県名または市町村名,状態,Q1【回答対象：全団体】オープンデータについて、どの程度ご存知ですか。当てはまるものを１つ選択してください。,Q2【回答対象：全団体】オープンデータについて、組織全体での認知度（知っている、知っているが詳細は分からない）はどの程度でしょうか？おおよその判断で構いませんので割合を1つ選択してください。,Q3【回答対象：全団体】貴団体はオープンデータに取り組んでいますか？,Q4【回答対象：まだオープンデータに取り組んでいない団体のみ】オープンデータの公開開始予定時期について、当てはまるものを１つ選択してください。,Q5【回答対象：まだオープンデータに取り組んでいない団体、かつ上記設問で「未計画」を選択した場合のみ】その理由を具体的にお答えください。,Q6【回答対象：全団体】貴団体のオープンデータの更新頻度について、当てはまるものを１つ選択してください。,Q7【回答対象：全団体】オープンデータとして公開されているファイル数について、当てはまるものを１つ選択してください。,Q8【回答対象：全団体】オープンデータ作成の現状として当てはまるものを選択してください。（該当するものをすべて選択してください）,Q9【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q10【回答対象：全団体】貴団体における過去4年間（令和3年度以降）に生まれたオープンデータ利活用事例において、当てはまるものを全て選択してください。,Q11【回答対象：上記設問で「その他、オープンデータを活用した事例がある」を選択した場合のみ】その具体的な内容をお答えください。事例を掲載したURL等でも構いません。,Q12【回答対象：全団体】オープンデータに取り組むにあたっての（未着手の団体の場合、着手することを含む）貴団体の課題や問題点について、最も優先度の高いものを選択してください。,Q13【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q14【回答対象：全団体】オープンデータに取り組むにあたり、貴団体が必要と考える支援（未着手の団体の場合、着手することを含む）について、最も優先度の高いものを選択してください。,Q15【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q16【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標を利用したことがありますか？,Q17【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q18【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料を利用したことがありますか？,Q19【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q20【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンを利用したことがありますか？,Q21【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンについてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q22【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体の制度を利用したことがありますか？,Q23【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q24【回答対象：全団体】自治体標準オープンデータセットのフォーマットでオープンデータの公開に取り組んでいますか。,Q25【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットに準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q26【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットのデータモデル型での公開を行っていますか。,Q27【回答対象：データモデル型での公開を行っている団体のみ】自治体標準オープンデータセット（データモデル型）に準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q28【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットを作成するときに、困ったことがあれば選択してください。（該当するものをすべて選択してください）,Q29【回答対象：すでに自治体標準ODSで公開している団体のみ】上記設問で「その他」を選択した場合、具体的な内容をご記載ください。,Q30【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ回答】今後、自治体標準オープンデータセットに準拠した公開を予定している、または公開を検討したいデータについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q31【回答対象：上記設問で「公開を検討すべき自治体標準オープンデータセットはない」を選択した場合のみ】その理由を選択してください。（該当するものをすべて選択してください）,Q32【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q33【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】データを公開することが困難な自治体標準オープンデータセットについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q34【回答対象：上記設問で「データを公開することが困難な自治体標準オープンデータセット」を選択した場合のみ】選択したデータ毎にその理由をご記載ください。,Q35【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセット以外のデータを公開予定であり、そのデータを自治体標準オープンデータセットへ追加することを希望する場合、その具体的なデータセットをお答えください。,Q36【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】既存の自治体標準オープンデータセットに、フィールドを追加したいデータセットがあれば選択してください。（該当するものをすべて選択してください）,Q37【回答対象：上記設問で「フィールドを追加したい自治体標準オープンデータセット」を選択した場合のみ】選択したデータセット毎にその項目をご記載ください。,Q38【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセットについて、設問以外のご意見やご要望があればご記入ください。,Q39【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】オープンデータの公開と合わせてメタデータの公開を行っていますか？,Q40【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「➁自治体標準オープンデータセット　オープンデータ一覧（改定案）」のフォーマットでオープンデータのメタデータを公開する事は可能でしょうか？,Q41【回答対象：上記設問で「困難」または「非常に困難」を選択した場合のみ】その理由をお答えください。（該当するものをすべて選択してください）,Q42【回答対象：上記設問で「その他」を選択した場合のみ】その内容を具体的にお答えください。,Q43【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、分かりやすい内容だと思いますか。,Q44【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、現在公表しているデータはどの段階に該当しますか。おおよその感触で構いません。（該当するものをすべて選択してください）,Q45【回答対象：上記設問で「その他」を選択した場合のみ】オープンデータの機械判読性段階モデル（案）に当てはまらないケースをご記載ください。,Q46【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、少しづつでも段階を上げていく取組を進めることが可能だと思いますか。,Q47【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】機械判読可能なオープンデータを増やす取組を進めるために最も有効だと思う支援を選択してください。,Q48【回答対象：上記設問で「その他」を選択した場合のみ】具体的に必要な支援内容をご記載ください。,Q49【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、改善すべき点等お気づきの点があればお聞かせください。,Q50【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】現在の、貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）についてお答えください。,Q51【回答対象：公式Webサイトの掲載内容に関する利用規約が政府標準利用規約の自治体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）を政府標準利用規約に変更した理由を教えてください。（該当するものをすべて選択してください）,Q52【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q53【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】自治体の公式Webサイトの著作権(ライセンス)が自団体で困ったことがあれば教えてください。（該当するものをすべて選択してください）,Q54【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q55【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約を仮に公共データ利用規約に変更しようとした場合、どのような課題があると考えられますか？,Q56【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q57【回答対象：全団体】アドレス・ベース・レジストリ・ジオコーダー（ABRジオコーダー）をデジタル庁より行政機関向けに無料での提供を予定していますが、オープンデータに位置座標を整備する際をはじめ、どのような業務で利用できそうか、ご意見をお聞かせください。,Q58【回答対象：全団体】オープンデータの取組全般について、設問以外のご意見やご要望があればご記入ください。
23211,232114,愛知県 豊田市,愛知県,豊田市,提出済,良く知っている,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,5001～10000,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,職員の業務負荷低減に繋がったオープンデータ利活用事例がある;住民サービスの向上につながったオープンデータ活用事例がある;複数の市区町村を巻き込んだ広域のオープンデータ利活用事例がある;民間事業者と連携したオープンデータ活用事例がある,・豊田市の統計オープンデータを活用し、様々な側面から豊田市を分析できるダッシュボードを作っている・職員や自治会での政策検討への活用が見込める・現在判明している事例では、中学校の公民の事業で教材として活用されている事例がある,機械判読に適したデータを用意できない,,オープンデータ作成・公開の作業支援ツール提供,,利用したことがない,・当該取組を把握していなかったため,利用したことがない,・当該資料を把握していなかったため,利用したことがない,・当該取組を把握していなかったため,,・現状、全所属を対象としたワークショップを検討していないため,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,"公共施設一覧	;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;医療機関一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	;食品等営業許可・届出一覧	;学校給食献立情報	;小中学校通学区域情報	;ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	;標準的なバス情報フォーマット	;支援制度（給付金）情報	;データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：赤ちゃんの駅	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	",,,作成が困難なデータセットはない,,,"フィールドを追加したいデータセットはない	",,,行っている,時間はかかるが可能,,,非常にわかりやすい,0　 (どんな形式でもよいので)あなたのデータをオープンライセンスでWeb上に公開しましょう;1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）;2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）;3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）;4　(上記に)標準的なメタデータを付けましょう,,時間はかかるが可能,その他,・自治体標準ODSのデータ記載例の充実,,自団体,,,,,利用規約（ライセンス）を変更するメリットがわからない,,,
23212,232122,愛知県 安城市,愛知県,安城市,提出済,良く知っている,80%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,501～1000,既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,アプリコンテストの開催支援,,利用したことがない,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,位置座標の整備,
23213,232131,愛知県 西尾市,愛知県,西尾市,提出済,良く知っている,30%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,職員の業務負荷低減に繋がったオープンデータ利活用事例がある,,オープンデータを担当する人的リソースがない,,オープンデータ作成・公開の作業支援ツール提供,,利用したことがない,,利用したことがない,,"利用したことがある	",,利用したことがない,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,行っている,時間はかかるが可能,,,わかりやすい,0　 (どんな形式でもよいので)あなたのデータをオープンライセンスでWeb上に公開しましょう;1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）;2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）;4　(上記に)標準的なメタデータを付けましょう,,時間はかかるが可能,ガイドライン、マニュアルの提供,,,CC BY 4.0,,,,,,,避難所情報などの施設情報をGIS（庁内型・公開型）へ取り込む際に必要な緯度経度情報の抽出作業等,
23214,232149,愛知県 蒲郡市,愛知県,蒲郡市,提出済,良く知っている,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,よく分からない,,,,,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;医療機関一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	;標準的なバス情報フォーマット	;支援制度（給付金）情報",行っていない,,"データ形式が異なるため変換に時間がかかる	;元データの項目が不足しているため、必要なデータの収集が難しい",,"データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：赤ちゃんの駅	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	",,,"ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	",＜都市計画基礎調査情報＞;都市計画基礎調査は、愛知県が定める調査要綱に基づき、県と市町村が分担して実施している。現在の県調査要綱はオープンデータを想定したデータ作成の作業内容となっていない。市が保有している基礎調査データは、集計作業等が行われていない状態のもので個人情報が含まれている。オープンデータとするには保有データを加工する必要があるが、公開範囲の検討や秘匿加工の程度等のオープンデータの仕様が定まった県調査要綱や市独自のルールが未設定のため。;＜ボーリング柱状図等＞;過去に実施したデータは管理しているが、新しいルールやフォーマットに対応していない。;＜調達情報＞;入力項目が揃っていないため。公告については、手入力で行うのは時間も手間もかかり、誤入力の恐れもある。自動でデータから読み取る機能がないと、業務の負担増となる。,,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,わからない。,
23215,232157,愛知県 犬山市,愛知県,犬山市,提出済,良く知っている,30%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,その他、オープンデータを活用した事例がある,市公式アプリのマップでの活用,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;医療機関一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	;標準的なバス情報フォーマット	",行っていない,,"元データの項目が不足しているため、必要なデータの収集が難しい;データの更新頻度が高く、最新のデータに保つのが難しい	",,"公開を検討すべき自治体標準オープンデータセットはない	",自治体標準ODSを公開する必要性を感じていない,,作成が困難なデータセットはない,,,"フィールドを追加したいデータセットはない	",,,行っている,時間はかかるが可能,,,どちらとも言えない,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,他自治体の取り組み事例の共有,,,CC BY 4.0,,,,,利用規約（ライセンス）を変更するメリットがわからない,,,
23216,232165,愛知県 常滑市,愛知県,常滑市,提出済,知っているが詳細は分からない,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,その他;よく分からない,,よく分からない,,オープンデータにどう取組んで良いか分からない,,オープンデータ作成・公開の作業支援,,,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23217,232173,愛知県 江南市,愛知県,江南市,提出済,知っているが詳細は分からない,30%,取組んでいる,,,ほとんど更新していない,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータにどう取組んで良いか分からない,,オープンデータのセミナー・ワークショップ開催支援,,,,,,,,,,すでに取り組んでいる,"指定緊急避難場所一覧	",行っていない,,"自治体標準ODS作成のガイドラインが明確でない	;その他",データ項目定義書に記載の定義だけでは、統一的なデータの作成が難しく、独自ルールを設けることもオープンデータの趣旨から外れるため作成が困難である。（例）・公衆トイレの定義→誰でも使用できれば公衆トイレなのか、施設利用者のためのトイレは対象か　など・公共施設の定義→建物が対象なのか、公園は含まれるか、特定の住民のみ利用する施設（市営住宅など）は含まれるかなど,"AED設置箇所一覧	",,,"医療機関一覧	;食品等営業許可・届出一覧	",・医療機関一覧…情報を持ち合わせていない。;・食品等営業許可・届出一覧…情報を持ち合わせていない。,,"フィールドを追加したいデータセットはない	",,,行っていない,可能,,,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,自団体,,,,,既存の掲載内容（コンテンツ）に対する権利関係の確認が大変である,,,
23219,232190,愛知県 小牧市,愛知県,小牧市,提出済,良く知っている,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,その他,オープンデータを利活用できる人材を育成する研修開催支援,,,,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;公衆無線LANアクセスポイント一覧	;観光施設一覧	",行っていない,,元データの項目が不足しているため、必要なデータの収集が難しい,,"公開を検討すべき自治体標準オープンデータセットはない	","データを作成するための人的リソースが不足している	",,,,,,,,,,,,,,,,,,,,,,,,,,,
23220,232203,愛知県 稲沢市,愛知県,稲沢市,提出済,良く知っている,よく分からない,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,オープンデータを活用した事例はまだない,,その他,オープンデータの効果・メリット・ニーズが不明確、原課の理解が得られない、オープンデータの利活用が進まない、オープンデータを開始した後の業務プロセスが不明、オープンデータとして出すデータの判断ができない,関係者の説得支援,オープンデータのセミナー・ワークショップ開催支援、先進的な活用事例の公開、手順等をまとめたガイドラインの整備、オープンデータ作成・公開の作業支援ツール提供、自治体標準ODSの拡充,利用したことがない,,利用したことがない,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;観光施設一覧	;小中学校通学区域情報	",行っていない,,"自治体標準ODSを作成するツールやソフトウェアの使い方がわからない	",,"医療機関一覧	;消防水利施設一覧	;都市計画基礎調査情報	;データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：ゴミ集積所一覧	",,,"食品等営業許可・届出一覧	;ボーリング柱状図等	",市の管轄するデータでないため,なし,"フィールドを追加したいデータセットはない	",,なし,,,,,,,,,,,,,,,,,,,緯度・経度の情報が不明確なシステムから住所を抽出してオープンデータを作成しようとした際に利用できると思います。,なし
23221,232211,愛知県 新城市,愛知県,新城市,提出済,知っているが詳細は分からない,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,オープンデータのセミナー・ワークショップ開催支援,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っている,非常に困難,"メタデータ公開に関する技術的なサポートが不足している	",,どちらとも言えない,0　 (どんな形式でもよいので)あなたのデータをオープンライセンスでWeb上に公開しましょう,,困難,ガイドライン、マニュアルの提供,,,CC BY 4.0,,,Webサイトの情報を使って良いか問い合わせが多い,,変更のための手続きがわからない,,・公民館等の公共施設や避難所の緯度・経度の整備,
23222,232220,愛知県 東海市,愛知県,東海市,提出済,良く知っている,よく分からない,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,101～500,システムから出力したファイルを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,利活用計画コンサルティング,,,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23223,232238,愛知県 大府市,愛知県,大府市,提出済,良く知っている,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,職員の業務負荷低減に繋がったオープンデータ利活用事例がある,,その他,中規模自治体において、オープンデータを公開することのメリットを明確にしてほしい。,その他,,,,,,,,利用したことがない,,すでに取り組んでいる,"標準的なバス情報フォーマット	",行っている,"ゴミの分別方法一覧	","データ形式が異なるため変換に時間がかかる	;元データの項目が不足しているため、必要なデータの収集が難しい;データモデル型のデータを原課に作成してもらうのは困難	",,"公共施設一覧	;地域・年齢別人口	;子育て施設一覧	;AED設置箇所一覧	;医療機関一覧	;観光施設一覧	;データモデル型：教育機関一覧",,,"イベント一覧	",,特になし,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,特になし,特になし
23224,232246,愛知県 知多市,愛知県,知多市,提出済,良く知っている,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,オープンデータ作成・公開の作業支援ツール提供,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,困難,メタデータについて理解できていない,,どちらとも言えない,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,どちらとも言えない,必要なソフトウェアやツールの提供,,,CC BY 2.1 JP,,,,,変更のための手続きがわからない,,地図開発機能を有するサービスを開発する際に、地図上参照や検索機能の利用が可能,特になし
23225,232254,愛知県 知立市,愛知県,知立市,提出済,名前は知っている,よく分からない,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,501～1000,システムから出力したファイルを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある,,オープンデータの効果・メリット・ニーズが不明確,,利活用計画コンサルティング,,利用したことがない,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,施設等の所在地を正確に表示が必要な業務,特になし
23226,232262,愛知県 尾張旭市,愛知県,尾張旭市,提出済,良く知っている,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,501～1000,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある;災害時や緊急事態といった事象におけるオープンデータ利活用事例がある;民間事業者と連携したオープンデータ活用事例がある;その他、オープンデータを活用した事例がある,市内選挙ポスター掲示場設置箇所の位置情報一覧https://www.city.owariasahi.lg.jp/page/10620.htmlhttps://www.city.owariasahi.lg.jp/site/senkyo/3618.htmlhttps://www.google.com/maps/d/viewer?hl=ja&mid=1Fakf24BhFzhg7pe0x5a-NZu5pxd5dWbb&ll=35.21154955716208%2C137.033414&z=14,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;医療機関一覧	;観光施設一覧	;公衆トイレ一覧	;消防水利施設一覧	;標準的なバス情報フォーマット	",行っていない,,元データの項目が不足しているため、必要なデータの収集が難しい,,"学校給食献立情報	",,,"オープンデータ一覧	;イベント一覧	",,,"フィールドを追加したいデータセットはない	",,,行っていない,,,,,,,,,,,,,,,,,,,
23227,232271,愛知県 高浜市,愛知県,高浜市,提出済,良く知っている,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,先進的な活用事例の公開,,,,,,,,,,すでに取り組んでいる,"公共施設一覧;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;介護サービス事業所一覧	",行っていない,,"元データの項目が不足しているため、必要なデータの収集が難しい;自治体でデータを持っていない	",,"医療機関一覧	;消防水利施設一覧	",,,"公衆無線LANアクセスポイント一覧	;医療機関一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	;食品等営業許可・届出一覧	;学校給食献立情報	;小中学校通学区域情報	;ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	;標準的なバス情報フォーマット	;支援制度（給付金）情報	;データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧	;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：赤ちゃんの駅	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	",現時点では原課と調整ができていないため,,"フィールドを追加したいデータセットはない	",,,行っていない,時間はかかるが可能,,,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,ガイドライン、マニュアルの提供,,,自団体,,,,,,,,
